06月20日 17:32:57 : Validating ... 
06月20日 17:32:59 : Init Val @ Epoch:1, lr:0.0001, val_mse_loss: 9675.247863769531
06月20日 17:36:41 : Epoch 1/600, Iter 200/454, loss = 3107.36, lr = 0.00010000
06月20日 17:36:41 : Epoch 1/600, Iter 201/454, loss = 3098.67, lr = 0.00010000
06月20日 17:36:41 : Epoch 1/600, Iter 202/454, loss = 3091.37, lr = 0.00010000
06月20日 17:36:41 : Epoch 1/600, Iter 203/454, loss = 3084.21, lr = 0.00010000
06月20日 17:36:41 : Epoch 1/600, Iter 204/454, loss = 3078.52, lr = 0.00010000
06月20日 17:36:41 : Epoch 1/600, Iter 205/454, loss = 3073.18, lr = 0.00010000
06月20日 17:36:42 : Epoch 1/600, Iter 206/454, loss = 3066.60, lr = 0.00010000
06月20日 17:36:42 : Epoch 1/600, Iter 207/454, loss = 3061.90, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 208/454, loss = 3055.26, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 209/454, loss = 3048.63, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 210/454, loss = 3041.54, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 211/454, loss = 3036.97, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 212/454, loss = 3031.67, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 213/454, loss = 3024.84, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 214/454, loss = 3018.39, lr = 0.00010000
06月20日 17:36:49 : Epoch 1/600, Iter 215/454, loss = 3011.90, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 216/454, loss = 3005.03, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 217/454, loss = 3000.74, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 218/454, loss = 2995.44, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 219/454, loss = 2989.40, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 220/454, loss = 2984.14, lr = 0.00010000
06月20日 17:36:57 : Epoch 1/600, Iter 221/454, loss = 2976.68, lr = 0.00010000
06月20日 17:36:58 : Epoch 1/600, Iter 222/454, loss = 2971.09, lr = 0.00010000
06月20日 17:36:58 : Epoch 1/600, Iter 223/454, loss = 2966.76, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 224/454, loss = 2961.46, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 225/454, loss = 2955.44, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 226/454, loss = 2949.54, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 227/454, loss = 2945.47, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 228/454, loss = 2940.01, lr = 0.00010000
06月20日 17:37:05 : Epoch 1/600, Iter 229/454, loss = 2935.47, lr = 0.00010000
06月20日 17:37:06 : Epoch 1/600, Iter 230/454, loss = 2929.66, lr = 0.00010000
06月20日 17:37:06 : Epoch 1/600, Iter 231/454, loss = 2924.39, lr = 0.00010000
06月20日 17:37:12 : Epoch 1/600, Iter 232/454, loss = 2919.15, lr = 0.00010000
06月20日 17:37:12 : Epoch 1/600, Iter 233/454, loss = 2913.73, lr = 0.00010000
06月20日 17:37:12 : Epoch 1/600, Iter 234/454, loss = 2911.02, lr = 0.00010000
06月20日 17:37:13 : Epoch 1/600, Iter 235/454, loss = 2904.37, lr = 0.00010000
06月20日 17:37:13 : Epoch 1/600, Iter 236/454, loss = 2899.61, lr = 0.00010000
06月20日 17:37:13 : Epoch 1/600, Iter 237/454, loss = 2895.01, lr = 0.00010000
06月20日 17:37:13 : Epoch 1/600, Iter 238/454, loss = 2890.08, lr = 0.00010000
06月20日 17:37:14 : Epoch 1/600, Iter 239/454, loss = 2885.23, lr = 0.00010000
06月20日 17:37:20 : Epoch 1/600, Iter 240/454, loss = 2881.03, lr = 0.00010000
06月20日 17:37:21 : Epoch 1/600, Iter 241/454, loss = 2876.48, lr = 0.00010000
06月20日 17:37:21 : Epoch 1/600, Iter 242/454, loss = 2871.50, lr = 0.00010000
06月20日 17:37:21 : Epoch 1/600, Iter 243/454, loss = 2866.98, lr = 0.00010000
06月20日 17:37:21 : Epoch 1/600, Iter 244/454, loss = 2861.63, lr = 0.00010000
06月20日 17:37:21 : Epoch 1/600, Iter 245/454, loss = 2857.05, lr = 0.00010000
06月20日 17:37:22 : Epoch 1/600, Iter 246/454, loss = 2853.52, lr = 0.00010000
06月20日 17:37:22 : Epoch 1/600, Iter 247/454, loss = 2848.43, lr = 0.00010000
06月20日 17:37:29 : Epoch 1/600, Iter 248/454, loss = 2845.18, lr = 0.00010000
06月20日 17:37:29 : Epoch 1/600, Iter 249/454, loss = 2841.97, lr = 0.00010000
06月20日 17:37:29 : Epoch 1/600, Iter 250/454, loss = 2838.99, lr = 0.00010000
06月20日 17:37:29 : Epoch 1/600, Iter 251/454, loss = 2835.59, lr = 0.00010000
06月20日 17:37:30 : Epoch 1/600, Iter 252/454, loss = 2831.34, lr = 0.00010000
06月20日 17:37:30 : Epoch 1/600, Iter 253/454, loss = 2826.99, lr = 0.00010000
06月20日 17:37:30 : Epoch 1/600, Iter 254/454, loss = 2823.10, lr = 0.00010000
06月20日 17:37:30 : Epoch 1/600, Iter 255/454, loss = 2820.17, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 256/454, loss = 2816.20, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 257/454, loss = 2812.16, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 258/454, loss = 2809.80, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 259/454, loss = 2806.30, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 260/454, loss = 2801.47, lr = 0.00010000
06月20日 17:37:37 : Epoch 1/600, Iter 261/454, loss = 2798.56, lr = 0.00010000
06月20日 17:37:38 : Epoch 1/600, Iter 262/454, loss = 2795.16, lr = 0.00010000
06月20日 17:37:38 : Epoch 1/600, Iter 263/454, loss = 2791.08, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 264/454, loss = 2787.03, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 265/454, loss = 2782.67, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 266/454, loss = 2778.82, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 267/454, loss = 2773.89, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 268/454, loss = 2769.77, lr = 0.00010000
06月20日 17:37:45 : Epoch 1/600, Iter 269/454, loss = 2766.09, lr = 0.00010000
06月20日 17:37:46 : Epoch 1/600, Iter 270/454, loss = 2761.86, lr = 0.00010000
06月20日 17:37:46 : Epoch 1/600, Iter 271/454, loss = 2757.21, lr = 0.00010000
06月20日 17:37:52 : Epoch 1/600, Iter 272/454, loss = 2752.89, lr = 0.00010000
06月20日 17:37:52 : Epoch 1/600, Iter 273/454, loss = 2747.88, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 274/454, loss = 2743.59, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 275/454, loss = 2738.64, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 276/454, loss = 2736.61, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 277/454, loss = 2732.58, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 278/454, loss = 2727.44, lr = 0.00010000
06月20日 17:37:53 : Epoch 1/600, Iter 279/454, loss = 2724.22, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 280/454, loss = 2721.73, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 281/454, loss = 2717.58, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 282/454, loss = 2713.26, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 283/454, loss = 2708.82, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 284/454, loss = 2705.00, lr = 0.00010000
06月20日 17:38:00 : Epoch 1/600, Iter 285/454, loss = 2701.09, lr = 0.00010000
06月20日 17:38:01 : Epoch 1/600, Iter 286/454, loss = 2697.71, lr = 0.00010000
