05月24日 09:56:42 : Epoch 1/90, Iter 51/219, loss = 7001.84, mse_loss = 7001.77, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:42 : Epoch 1/90, Iter 52/219, loss = 6943.59, mse_loss = 6943.51, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:43 : Epoch 1/90, Iter 53/219, loss = 6886.66, mse_loss = 6886.59, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:43 : Epoch 1/90, Iter 54/219, loss = 6824.79, mse_loss = 6824.71, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:44 : Epoch 1/90, Iter 55/219, loss = 6776.88, mse_loss = 6776.81, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:45 : Epoch 1/90, Iter 56/219, loss = 6732.13, mse_loss = 6732.06, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:45 : Epoch 1/90, Iter 57/219, loss = 6676.10, mse_loss = 6676.02, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:46 : Epoch 1/90, Iter 58/219, loss = 6637.37, mse_loss = 6637.30, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:46 : Epoch 1/90, Iter 59/219, loss = 6594.91, mse_loss = 6594.84, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:47 : Epoch 1/90, Iter 60/219, loss = 6531.92, mse_loss = 6531.85, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:48 : Epoch 1/90, Iter 61/219, loss = 6484.54, mse_loss = 6484.47, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:48 : Epoch 1/90, Iter 62/219, loss = 6436.97, mse_loss = 6436.90, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:49 : Epoch 1/90, Iter 63/219, loss = 6394.14, mse_loss = 6394.07, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:49 : Epoch 1/90, Iter 64/219, loss = 6348.22, mse_loss = 6348.15, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:50 : Epoch 1/90, Iter 65/219, loss = 6309.82, mse_loss = 6309.75, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:51 : Epoch 1/90, Iter 66/219, loss = 6272.53, mse_loss = 6272.46, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:51 : Epoch 1/90, Iter 67/219, loss = 6236.73, mse_loss = 6236.67, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:52 : Epoch 1/90, Iter 68/219, loss = 6198.18, mse_loss = 6198.11, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:52 : Epoch 1/90, Iter 69/219, loss = 6163.71, mse_loss = 6163.64, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:53 : Epoch 1/90, Iter 70/219, loss = 6124.40, mse_loss = 6124.33, rate_loss = 0.07, rate_display = 0.14, lr = 0.00010000
